Fecha Inicio Caida,Fecha Fin Caida,Hora Inicio Caida,Hora Fin Caida,Diferencia,Diferencia en segundos
2020-04-27,2020-04-27,09:32:52,10:01:13,00:28:21,1701
2020-04-27,2020-04-27,16:30:22,17:11:55,00:41:33,2493
2020-05-04,2020-05-04,19:47:35,19:47:57,00:00:22,22
2020-05-08,2020-05-08,12:14:09,12:14:19,00:00:10,10
2020-05-09,2020-05-11,22:25:54,10:36:26,36:10:32,130232
2020-05-16,2020-05-16,22:55:05,22:55:13,00:00:08,8
Segundos Totales,134466,Rango de fecha en segundos,2591999,Porcentaje Total,5.187733482921868

Reporte realizado del Fri Apr 24 2020 19:00:00 GMT-0500 (Colombia Standard Time) al Sun May 24 2020 18:59:59 GMT-0500 (Colombia Standard Time)
